date,artist_name,lastfm_name,lastfm_url,listeners,playcount,tags,bio_summary,top_track_1,top_track_1_playcount,top_track_2,top_track_2_playcount,top_track_3,top_track_3_playcount,top_album_1,top_album_1_playcount,found_on_lastfm
2026-04-18,Taylor Swift,Taylor Swift,https://www.last.fm/music/Taylor+Swift,5926029,3665483659,country|pop|female vocalists|singer-songwriter|acoustic,"Taylor Alison Swift is an American singer-songwriter. Her discography spans multiple genres, and her narrative songwriting, which is often inspired by her personal life, has received widespread media coverage and critical praise.

Swift rose to mainstream prominence with her sophomore studio album, Fearless (2008), a country pop record with crossover appeal. Aided by the top-five singles “Love Story” and “You Belong with Me”, Fearless was certified Diamond by the Recording Industry Recording Ind",Blank Space,28058617,Cruel Summer,48948963,Shake It Off,18747564,Lover,296334313,True
2026-04-18,Gusttavo Lima,Gusttavo Lima,https://www.last.fm/music/Gusttavo+Lima,564486,16072127,sertanejo|pop|male vocalists|Sertanejo Universitario|brazilian,"Nivaldo Batista Lima better known by his stage name Gusttavo Lima (born in Presidente Olegário, Minas Gerais on September 3, 1989) is a Brazilian singer of the sertaneja (brazilian country) genre. Known in his country with many hits, like ""Inventor dos Amores"", ""Cor de Ouro"" and gained international fame and success through the song ""Balada"". He is often compared to the sertanejo singers Luan Santana and Michel Teló.

He was born to Alcino and Sebastiana Lima in Minas Gerais but grew up in Goiân",Balada - Ao Vivo,656066,Balada,614298,Canudinho - Ao Vivo,596905,Gusttavo Lima e Você (Ao Vivo),605156,True
2026-04-18,Grupo Menos É Mais,Grupo Menos É Mais,https://www.last.fm/music/Grupo+Menos+%C3%89+Mais,385354,13722984,brazil|brazilian|samba,"INÍCIO

O Grupo Menos é Mais começou a se apresentar em novembro de 2016 a partir da iniciativa de três músicos, Gustavo Goes, Jorge Farias e Pietro Silva, que tocavam juntos samba e pagode em ocasiões esporádicas e em festas particulares. O trio recebeu sua primeira oportunidade de tocar, semanalmente em um bar, em Taguatinga, no Taguaparque. Nesse período, o Ramon Alvarenga passou a fazer parte da família. E, em 2018, entrou o Eduardo Caetano (Duzão). <a href=""https://www.last.fm/music/Grupo+M",Lapada Dela - Ao Vivo,1838181,Coração Partido (Corazón Partío) - Ao Vivo,1612868,Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo,997977,Confia (Ao Vivo),2145354,True
2026-04-18,Panda,Panda,https://www.last.fm/music/Panda,214800,7770050,rock|pop punk|punk rock|punk|emo,"1) Panda is a Mexican pop/rock band formed in Monterrey, Nuevo León, Mexico, in 1996. The band, its name occcasionally styled PXNDX, caught local attention in 2001 with the album 'Arroz con Leche' and achieved mainstream success with their albums 'Para ti con desprecio' (2005) and 'Amantes Sunt Amentes' (2006).

2) 	Panda is a hard rock/heavy metal band from Marietta, Georgia, USA.

Lineup:
Schon Eric Mac - Lead & Backing Vocals
Jack Browning - Guitar, Backing Vocals <a href=""https://www.last.fm",Baqueado - Ao Vivo,380166,Eu Te Seguro - Ao Vivo,256306,Los Malaventurados No Lloran,311327,Amantes Sunt Amentes,1300893,True
2026-04-18,Xand Avião,Xand Avião,https://www.last.fm/music/Xand+Avi%C3%A3o,128952,1730175,nordeste|brazil|Forro|forro eletronico,"Xand Avião, nome artístco de José Alexandre da Silva Filho (Itaú, 24 de março de 1982) é um cantor e compositor de forró eletrônico e também empresário brasileiro. Entre 2017 e 2018, Xand cantou na banda Aviões do Forró sozinho, desde a saída de Solange Almeida.[1] Hoje, está em carreira solo.[2] <a href=""https://www.last.fm/music/Xand+Avi%C3%A3o"">Read more on Last.fm</a>",Superação Digital,133035,Algo Mais (Amante) - Ao Vivo,131455,Ela Aperta a Minha Mente,59662,Errejota (Ao Vivo),231583,True
2026-04-18,Orochi,Orochi,https://www.last.fm/music/Orochi,300247,17938520,visual kei|J-rock|japanese|metal|alternative,"There are two artists named Orochi.

1. Flávio César Castro, better known as Orochi, is a Brazilian rapper and singer. He began his musical journey at the age of 14, participating in rap battle circuits, and gradually built his reputation within cultural circles. With a substantial online following, Orochi has amassed millions of social media followers and over one billion song plays, establishing himself as a significant figure in Brazilian rap. <a href=""https://www.last.fm/music/Orochi"">Read m",Amor de Fim de Noite,1382840,Sereia,1137648,Mitsubishi,1105752,Celebridade,5222590,True
2026-04-18,Mari Fernandez,Mari Fernandez,https://www.last.fm/music/Mari+Fernandez,192440,5488749,brazilian|Forro|piseiro|cantora de forro|singer-songwriter,"Mariana Fernandes de Sousa, mais conhecida como Mari Fernandez (Alto Santo, 19 de fevereiro de 2001), é uma cantora e compositora brasileira de forró e piseiro. Ganhou fama nacional com a canção “Não, Não Vou”. O hit do piseiro levou a compositora ao Top 1 do Spotify Brasil em 2021.

Nasceu em Alto Santo no Ceará, e atualmente mora em fortaleza. Mari deu início a carreira aos sete anos de idade, cantando em escolas e igrejas. Aos 15 anos, compôs sua primeira música. <a href=""https://www.last.fm/",Comunicação Falhou - Ao Vivo,591104,Parada Louca,443534,"Não, Não Vou",354638,Ao Vivo em Fortaleza,1296615,True
2026-04-18,PEDRO SAMPAIO,PEDRO SAMPAIO,https://www.last.fm/music/PEDRO+SAMPAIO,572899,31283048,brazilian|funk|melody|brazil|pop,"Pedro do Espirito Santo Sampaio (born 22 December 1997), better known as Pedro Sampaio (stylized in all caps) is a Brazilian DJ, music producer and singer. 

At the age of 13, he began to discover his talent for percussion playing in a bucket and was then convinced his father to buy a tambourine, repinique, and timbal. A year later, he was discovered by Victor Junior while DJing at his father's friend's party. He joined Dennis DJ's team at age of 17. <a href=""https://www.last.fm/music/PEDRO+SAMP",ESCADA DO PRÉDIO,2875413,JETSKI,2800619,Sequência Feiticeira,2345531,Astro,4266774,True
2026-04-18,Léo Santana,Léo Santana,https://www.last.fm/music/L%C3%A9o+Santana,213750,2683324,brazil|brazilian|pagode baiano|brasil|Pagode,"Leandro Silva de Santana Improta (Salvador, 22 de abril de 1988)mais conhecido pelo seu nome artístico Leo Santana, é um cantor, compositor e percussionista brasileiro. 

Nascido e criado no bairro da Boa Vista do Lobato, periferia da capital baiana, desde a adolescência sempre sonhou em trabalhar como músico, tanto que quando a família se reunia na casa dos avós na cidade de São Domingos, interior da Bahia, tinha o costume de dançar e cantar com os amigos. <a href=""https://www.last.fm/music/L%C","Desliza (""Ólhinho"" No Corpinho)",1171057,Zona De Perigo,146380,Surra De Toma - Ao Vivo,173522,"Desliza (""Ólhinho"" No Corpinho)",1204829,True
2026-04-18,Simone Mendes,Simone Mendes,https://www.last.fm/music/Simone+Mendes,184854,7874209,Brega|brazilian|sofrencia|sertanejo,"Prestes a lançar as primeiras faixas inéditas de sua fase solo no sertanejo, Simone coleciona prêmios e marcas expressivas na carreira. Na música ou na web, onde figura no pódio das cantoras com mais fãs nas redes sociais, é uma das principais artistas do Brasil!

Na prateleira de Simone Mendes estão alguns dos mais importantes troféus do entretenimento: Prêmio Multishow de Música Brasileira, Prêmio Contigo! Online, Prêmio Jovem Brasileiro <a href=""https://www.last.fm/music/Simone+Mendes"">Read m",Erro Gostoso - Ao Vivo,1415995,Dois Fugitivos - Ao Vivo,1308292,Dois Tristes - Ao Vivo,633081,Cintilante (Ao Vivo),2227739,True
2026-04-18,NATTAN,Nattan,https://www.last.fm/music/Nattan,261849,8032686,pop|brazilian|nordeste|Forro|lixo,"Natanael Cesário dos Santos, mais conhecido como Nattan ou Nattanzinho (Sobral-CE, 18 de agosto de 1998), é um cantor e compositor de forró brasileiro. É considerado um dos principais nomes do forró na atualidade. <a href=""https://www.last.fm/music/Nattan"">Read more on Last.fm</a>",Love Gostosinho - Ao Vivo,964270,Morena,910904,Última Noite,761685,Estilo Nattanzinho (Ao Vivo em São Paulo),1024730,True
2026-04-18,Natanzinho Lima,Natanzinho Lima,https://www.last.fm/music/Natanzinho+Lima,95389,2968522,Brega|rock|Forro|arrocha|piseiro,"Natanzinho Lima, nome artístico de Natã Lima Nascimento, é um cantor sergipano natural de Itabaiana, cidade conhecida como “terra do caminhão”. Desde cedo demonstrou paixão pela música, aprendendo violão de forma autodidata. Antes da fama, trabalhou como garçom e vendedor de castanhas, e foi justamente em um restaurante que sua vida mudou, quando o irmão o incentivou a cantar para os clientes. A partir daí, Natanzinho descobriu sua vocação artística e deu início à carreira musical <a href=""https",Uma e Quinze da Manhã,249779,5 Da Manhã,177737,Me Apaixonei Nessa Morena,101231,De Bar em Bar 4.0,483652,True
2026-04-18,Ícaro e Gilmar,Ícaro e Gilmar,https://www.last.fm/music/%C3%8Dcaro+e+Gilmar,67102,3483843,," <a href=""https://www.last.fm/music/%C3%8Dcaro+e+Gilmar"">Read more on Last.fm</a>",Voltável - Ao Vivo,160138,Diferentona,111013,A Viola e Eu - Ao Vivo,142309,Sextou BB: Uberlândia (Ao Vivo),330291,True
2026-04-18,Mc IG,Mc IG,https://www.last.fm/music/Mc+IG,298841,19955610,funk|baile funk|better than selena gomez|dance|urban,"Guilherme Sérgio, mais conhecido por seu nome artístico, Mc IG, é um cantor e compositor de funk de São Paulo - Zona Norte.  <a href=""https://www.last.fm/music/Mc+IG"">Read more on Last.fm</a>",3 Dias Virado,1214583,Noite Fria,776866,"Faz Completo, Chefe",836810,Ninguém Tá Puro!,2410107,True
2026-04-18,Racionais MC's,Racionais MC's,https://www.last.fm/music/Racionais+MC%27s,419969,28529045,rap|brazilian|hip hop|Rap Nacional|brazilian rap,"Racionais MC's is a hip hop group based in  São Paulo, Brazil. Mano Brown (Pedro Paulo Soares Pereira), Ice Blue (Paulo Eduardo Salvador), Edy Rock (Edvaldo Pereira Alves) and DJ KL Jay (Kleber Geraldo Lelis Simões) formed the group in 1988. Each member hails from the ring of favelas (slums) around São Paulo locally called the periferia. Their lyrics combine themes of social justice with gangster imagery, a far cry from the idyllic breeziness typically associated with Brazilian music. <a href=""h","Vida Loka, Pt. 1",2032501,Negro Drama,1767415,"Vida Loka, Pt. 2",1895318,"Nada Como um Dia Após o Outro Dia, Vol. 1 & 2",11884484,True
2026-04-18,Veigh,Veigh,https://www.last.fm/music/Veigh,319250,36376477,trap|rap|trap BR|Hip-Hop|teen,"Thiago Veigh (born September 12, 2001), professionally known by his stage name, Veigh, is a Brazilian rapper, singer and songwriter from São Paulo, Brazil.

He is known for the hits ""Vida Chique"" and ""Movimento"". <a href=""https://www.last.fm/music/Veigh"">Read more on Last.fm</a>",Novo Balanço,3422336,Engana Dizendo Que Ama,2226435,Talvez você precise de mim,1736903,Dos Prédios Deluxe,10939689,True
2026-04-18,MC Ryan SP,MC Ryan SP,https://www.last.fm/music/MC+Ryan+SP,201130,4853964,Funk paulista|rap|brazil|brasil|brazilian funk," <a href=""https://www.last.fm/music/MC+Ryan+SP"">Read more on Last.fm</a>",Namora Aí,472690,Melhor Vibe,368782,Sexta Feira Hoje Tem,259654,Namora Aí,478652,True
2026-04-18,MORADA,Morada,https://www.last.fm/music/Morada,84612,2980690,metalcore|alternative|brazil|gospel|pop rock,"Morada (estilizado como MORADA) é uma banda brasileira de música Cristã contemporânea, originária da cidade de Fernandópolis, no interior do estado de São Paulo. Fundada em 2009, o grupo consolidou-se como um dos principais nomes da cena gospel nacional, acumulando milhões de visualizações em plataformas digitais e uma sólida base de fãs nas redes sociais. 

Morada destaca-se pela fusão de diferentes ritmos musicais, trazendo inovação ao cenário da música gospel. <a href=""https://www.last.fm/mus",É Tudo Sobre Você - Ao Vivo,519848,É Tudo Sobre Você / Ser Mudado - Ao Vivo,339016,Só Tu És Santo / Uma Coisa / Deixa Queimar / Quando Ele Vem - Ao Vivo,197212,Uma Só Voz - Vol. 01 (Ao Vivo),797727,True
